,ID,acceleration,sprint_speed,sho,heading_accuracy,pas,ball_control,dribbling,agility,def,composure,stamina,strength,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,jumping
0,20801,89,91,93,88,82,93,91,89,33,95,92,80,7,11,15,14,11,95
1,158023,92,87,90,71,86,95,97,90,26,96,73,59,6,11,15,14,8,68
2,190871,94,90,84,62,79,95,96,96,30,92,78,53,9,9,15,15,11,61
3,176580,88,77,90,77,79,91,86,86,42,83,89,80,27,25,31,33,37,69
4,167495,58,61,90,25,95,48,30,52,60,70,44,83,91,90,95,91,89,78
5,188545,79,83,88,85,75,89,85,78,38,87,79,84,15,6,12,8,10,84
6,193080,57,58,85,21,87,42,18,60,58,64,40,64,90,85,87,86,90,67
7,183277,93,87,82,57,84,92,93,93,32,87,79,65,11,12,6,8,8,59
8,182521,60,52,81,54,89,89,79,71,73,85,77,74,10,11,13,7,10,32
9,167664,78,80,87,86,70,85,84,75,25,86,72,85,5,12,7,5,10,79
10,155862,75,77,63,91,71,84,61,79,88,80,84,81,11,8,9,7,11,93
11,192985,76,75,84,53,88,87,85,80,45,84,87,73,15,13,5,10,13,65
12,192119,46,52,91,13,69,23,13,61,49,52,38,70,85,91,69,86,88,68
13,184941,88,84,84,70,80,87,90,90,40,86,85,72,10,10,15,12,13,85
14,177003,75,71,75,55,86,92,86,93,72,84,82,58,13,9,7,14,9,67
15,173731,93,95,87,86,84,86,87,77,57,85,76,80,15,15,11,5,6,85
16,153079,90,84,88,68,75,89,89,86,23,90,74,74,13,15,6,11,14,80
17,138956,68,78,46,84,56,57,58,59,90,82,68,91,3,3,2,4,3,89
18,1179,49,43,88,13,74,28,26,55,46,70,39,69,89,88,74,90,84,75
19,211110,88,84,85,68,81,93,92,91,24,84,83,65,5,4,4,5,8,75
20,200389,43,60,90,15,77,16,12,67,52,55,41,78,84,90,77,87,84,76
21,194765,87,86,85,80,78,86,87,90,30,86,76,61,14,8,14,13,14,87
22,189509,77,68,75,58,85,92,90,90,62,83,75,59,6,11,7,9,13,75
23,188567,95,96,84,79,75,82,82,77,37,84,79,77,6,9,15,9,9,77
24,184344,62,72,54,88,70,75,69,60,87,84,73,85,2,2,3,2,4,85
25,183907,72,78,50,85,72,71,67,58,88,86,74,91,7,12,15,6,5,75
26,182493,64,70,48,92,65,76,53,63,88,82,67,80,6,8,15,5,15,89
27,178603,62,65,58,89,75,77,68,64,89,91,66,85,15,6,10,5,6,68
28,176635,75,68,74,54,87,90,86,83,24,78,69,57,6,14,10,6,14,52
29,167948,65,63,86,10,68,34,10,55,64,61,41,43,88,86,68,82,90,74
30,164240,70,74,56,82,73,80,68,74,89,83,74,81,9,12,5,9,10,93
31,41236,63,67,88,80,81,88,82,81,32,91,71,88,13,15,10,9,12,69
32,9014,87,86,86,51,81,89,92,89,32,86,68,67,10,8,11,5,15,61
33,215914,82,80,66,54,75,79,77,83,81,84,94,77,15,12,10,7,10,79
34,199556,69,62,59,55,84,88,90,87,79,91,77,56,12,12,15,15,10,64
35,195864,72,76,79,73,84,89,86,76,68,85,91,91,5,6,2,4,3,85
36,190460,77,74,78,52,88,87,84,78,47,87,90,57,9,14,7,7,6,57
37,181872,76,74,81,81,80,83,76,75,83,86,91,77,4,2,4,2,4,82
38,179813,75,78,83,88,72,80,80,81,42,83,92,74,12,5,13,13,10,88
39,176676,77,79,69,71,80,88,86,77,83,85,81,77,12,5,5,5,9,77
40,171877,72,75,80,74,84,87,86,76,68,84,85,69,8,6,4,14,14,71
41,168651,67,64,84,58,86,87,84,72,60,81,76,63,14,11,12,5,9,44
42,168542,72,65,72,54,87,90,84,92,38,92,78,56,1,1,1,1,1,66
43,162835,54,57,86,10,69,24,18,42,56,62,41,71,87,86,69,87,87,78
44,152729,55,73,61,83,69,78,59,58,86,86,66,83,10,11,14,15,8,74
45,41,72,71,70,54,87,94,90,79,58,89,58,58,6,13,6,13,7,52
46,202126,70,75,87,83,72,82,78,73,42,84,85,86,8,10,11,14,11,70
47,198710,77,75,85,62,85,85,83,82,40,87,68,70,15,15,15,5,14,54
48,197781,74,69,83,55,82,91,90,83,54,86,71,59,10,8,12,15,6,64
49,197445,86,86,73,75,81,83,79,79,82,79,87,69,5,7,14,15,9,82
50,192505,76,89,85,87,70,75,78,62,34,84,80,93,8,15,14,7,10,71
51,191043,84,88,65,76,77,81,82,79,81,82,93,80,7,7,9,12,5,79
52,189596,76,78,82,82,77,82,75,76,46,83,90,67,6,7,11,14,14,81
53,189511,48,34,59,68,79,80,74,58,82,88,88,77,5,8,13,9,13,66
54,189242,88,77,78,47,83,88,88,92,35,85,80,61,12,7,9,14,6,59
55,188350,86,90,87,49,84,85,86,86,39,83,68,67,12,12,13,13,11,72
56,184087,62,69,58,82,72,70,62,60,87,81,76,82,16,6,14,16,14,81
57,179944,68,71,64,83,74,79,66,72,84,78,76,81,11,12,10,7,14,80
58,179844,74,75,83,83,65,83,77,58,40,84,83,91,11,13,12,8,11,64
59,178518,80,76,80,59,78,85,80,81,81,85,94,76,11,11,14,8,11,76
60,177610,49,50,60,90,69,71,62,54,86,83,64,84,5,12,9,11,8,83
