,ID,name,full_name,club,age,league,nationality,eur_value,eur_wage,eur_release_clause,overall,potential,position,preferred_foot
0,20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Real Madrid CF,32,Spanish Primera División,Portugal,95500000.0,565000.0,195800000.0,94,94,wing,Right
1,158023,L. Messi,Lionel Messi,FC Barcelona,30,Spanish Primera División,Argentina,105000000.0,565000.0,215300000.0,93,93,wing,Left
2,190871,Neymar,Neymar da Silva Santos Jr.,Paris Saint-Germain,25,French Ligue 1,Brazil,123000000.0,280000.0,236800000.0,92,94,wing,Right
3,176580,L. Suárez,Luis Suárez,FC Barcelona,30,Spanish Primera División,Uruguay,97000000.0,510000.0,198900000.0,92,92,st,Right
4,167495,M. Neuer,Manuel Neuer,FC Bayern Munich,31,German Bundesliga,Germany,61000000.0,230000.0,100700000.0,92,92,gk,Right
5,188545,R. Lewandowski,Robert Lewandowski,FC Bayern Munich,28,German Bundesliga,Poland,92000000.0,355000.0,151800000.0,91,91,st,Right
6,193080,De Gea,David De Gea Quintana,Manchester United,26,English Premier League,Spain,64500000.0,215000.0,124200000.0,90,92,gk,Right
7,183277,E. Hazard,Eden Hazard,Chelsea,26,English Premier League,Belgium,90500000.0,295000.0,174200000.0,90,91,wing,Right
8,182521,T. Kroos,Toni Kroos,Real Madrid CF,27,Spanish Primera División,Germany,79000000.0,340000.0,162000000.0,90,90,mid,Right
9,167664,G. Higuaín,Gonzalo Higuaín,Juventus,29,Italian Serie A,Argentina,77000000.0,275000.0,127100000.0,90,90,st,Right
10,155862,Sergio Ramos,Sergio Ramos García,Real Madrid CF,31,Spanish Primera División,Spain,52000000.0,310000.0,106600000.0,90,90,cb,Right
11,192985,K. De Bruyne,Kevin De Bruyne,Manchester City,26,English Premier League,Belgium,83000000.0,285000.0,159800000.0,89,92,mid,Right
12,192119,T. Courtois,Thibaut Courtois,Chelsea,25,English Premier League,Belgium,59000000.0,190000.0,113600000.0,89,92,gk,Left
13,184941,A. Sánchez,Alexis Sánchez,Arsenal,28,English Premier League,Chile,67500000.0,265000.0,124900000.0,89,89,mid,Right
