,ID,neighbor,n_ID,n_name,n_overall,n_age,n_position,n_club,n_league,n_eur_value,n_eur_release_clause
0,20801,,,,,,,,,,
1,158023,,,,,,,,,,
2,190871,,,,,,,,,,
3,176580,,,,,,,,,,
4,167495,,,,,,,,,,
5,188545,,,,,,,,,,
6,193080,,,,,,,,,,
7,183277,,,,,,,,,,
8,182521,,,,,,,,,,
9,167664,,,,,,,,,,
10,155862,,,,,,,,,,
11,192985,,,,,,,,,,
12,192119,,,,,,,,,,
13,184941,,,,,,,,,,
14,177003,,,,,,,,,,
15,173731,,,,,,,,,,
16,153079,,,,,,,,,,
17,138956,,,,,,,,,,
18,1179,,,,,,,,,,
19,211110,,,,,,,,,,
20,200389,,,,,,,,,,
21,194765,,,,,,,,,,
22,189509,,,,,,,,,,
23,188567,,,,,,,,,,
24,184344,,,,,,,,,,
25,183907,,,,,,,,,,
26,182493,,,,,,,,,,
27,178603,,,,,,,,,,
28,176635,,,,,,,,,,
29,167948,,,,,,,,,,
30,164240,,,,,,,,,,
31,41236,,,,,,,,,,
32,9014,,,,,,,,,,
33,215914,,,,,,,,,,
34,199556,,,,,,,,,,
35,195864,,,,,,,,,,
36,190460,,,,,,,,,,
37,181872,,,,,,,,,,
38,179813,,,,,,,,,,
39,176676,,,,,,,,,,
40,171877,,,,,,,,,,
41,168651,,,,,,,,,,
42,168542,,,,,,,,,,
43,162835,,,,,,,,,,
44,152729,,,,,,,,,,
45,41,,,,,,,,,,
46,202126,,,,,,,,,,
47,198710,,,,,,,,,,
48,197781,,,,,,,,,,
49,197445,,,,,,,,,,
50,192505,,,,,,,,,,
51,191043,,,,,,,,,,
52,189596,,,,,,,,,,
53,189511,,,,,,,,,,
54,189242,,,,,,,,,,
55,188350,,,,,,,,,,
56,184087,,,,,,,,,,
57,179944,,,,,,,,,,
58,179844,,,,,,,,,,
59,178518,,,,,,,,,,
60,177610,,,,,,,,,,
61,175943,,,,,,,,,,
62,172879,,,,,,,,,,
63,168609,,,,,,,,,,
64,165153,,,,,,,,,,
65,162895,,,,,,,,,,
66,156616,,,,,,,,,,
67,120533,,,,,,,,,,
68,48940,,,,,,,,,,
69,208418,,,,,,,,,,
70,201535,,,,,,,,,,
71,201153,,,,,,,,,,
72,200145,,,,,,,,,,
73,198219,,,,,,,,,,
74,193747,,,,,,,,,,
75,193301,,,,,,,,,,
76,193041,,,,,,,,,,
77,192883,,,,,,,,,,
78,192593,,,,,,,,,,
79,192563,,,,,,,,,,
80,192448,,,,,,,,,,
81,190547,,,,,,,,,,
82,189332,,,,,,,,,,
83,186942,,,,,,,,,,
84,184432,,,,,,,,,,
85,183898,,,,,,,,,,
86,180206,,,,,,,,,,
87,173210,,,,,,,,,,
88,172871,,,,,,,,,,
89,170890,,,,,,,,,,
90,167628,,,,,,,,,,
91,164169,,,,,,,,,,
92,139720,,,,,,,,,,
93,137186,,,,,,,,,,
94,225508,,,,,,,,,,
95,220834,,,,,,,,,,
96,218667,,,,,,,,,,
97,212218,,,,,,,,,,
98,211117,,,,,,,,,,
99,208722,,,,,,,,,,
100,204963,,,,,,,,,,
101,202166,,,,,,,,,,
102,201399,,,,,,,,,,
103,201024,,,,,,,,,,
104,200316,,,,,,,,,,
105,192774,,,,,,,,,,
106,192227,,,,,,,,,,
107,191740,,,,,,,,,,
108,191202,,,,,,,,,,
109,189712,,,,,,,,,,
110,189505,,,,,,,,,,
111,189117,,,,,,,,,,
112,184120,,,,,,,,,,
113,181458,,,,,,,,,,
114,180930,,,,,,,,,,
115,180403,,,,,,,,,,
116,179846,,,,,,,,,,
117,179783,,,,,,,,,,
118,178750,,,,,,,,,,
119,178088,,,,,,,,,,
120,177509,,,,,,,,,,
121,167397,,,,,,,,,,
122,165229,,,,,,,,,,
123,164468,,,,,,,,,,
124,146530,,,,,,,,,,
125,143076,,,,,,,,,,
126,106231,,,,,,,,,,
127,231747,,,,,,,,,,
128,231443,,,,,,,,,,
129,220971,,,,,,,,,,
130,216460,,,,,,,,,,
131,215316,,,,,,,,,,
132,213565,,,,,,,,,,
133,212814,,,,,,,,,,
134,212190,,,,,,,,,,
135,210257,,,,,,,,,,
136,209658,,,,,,,,,,
137,209499,,,,,,,,,,
138,209331,,,,,,,,,,
139,208596,,,,,,,,,,
140,208448,,,,,,,,,,
141,207865,,,,,,,,,,
142,207566,,,,,,,,,,
143,205600,,,,,,,,,,
144,204485,,,,,,,,,,
145,203376,,,,,,,,,,
146,201942,,,,,,,,,,
147,200888,,,,,,,,,,
148,199715,,,,,,,,,,
149,199482,,,,,,,,,,
150,198176,,,,,,,,,,
151,198009,,,,,,,,,,
152,197061,,,,,,,,,,
153,193474,,,,,,,,,,
154,192629,,,,,,,,,,
155,192387,,,,,,,,,,
156,192366,,,,,,,,,,
157,191180,,,,,,,,,,
158,189513,,,,,,,,,,
159,189358,,,,,,,,,,
160,189125,,,,,,,,,,
161,189068,,,,,,,,,,
162,188377,,,,,,,,,,
163,188152,,,,,,,,,,
164,187936,,,,,,,,,,
165,186547,,,,,,,,,,
166,185239,,,,,,,,,,
167,185020,,,,,,,,,,
168,184826,,,,,,,,,,
169,184431,,,,,,,,,,
170,184144,,,,,,,,,,
171,181783,,,,,,,,,,
172,180819,,,,,,,,,,
173,179784,,,,,,,,,,
174,178562,,,,,,,,,,
175,178005,,,,,,,,,,
176,177683,,,,,,,,,,
177,177388,,,,,,,,,,
178,177358,,,,,,,,,,
179,176769,,,,,,,,,,
180,173771,,,,,,,,,,
181,170481,,,,,,,,,,
182,167905,,,,,,,,,,
183,163587,,,,,,,,,,
184,162240,,,,,,,,,,
185,161956,,,,,,,,,,
186,159147,,,,,,,,,,
187,158963,,,,,,,,,,
188,146748,,,,,,,,,,
189,146562,,,,,,,,,,
190,142754,,,,,,,,,,
191,139869,,,,,,,,,,
192,139068,,,,,,,,,,
193,53302,,,,,,,,,,
194,24630,,,,,,,,,,
195,20775,,,,,,,,,,
196,20289,,,,,,,,,,
197,5479,,,,,,,,,,
198,230621,,,,,,,,,,
199,222492,,,,,,,,,,
200,219809,,,,,,,,,,
201,219683,,,,,,,,,,
202,216594,,,,,,,,,,
203,216451,,,,,,,,,,
204,215785,,,,,,,,,,
205,213331,,,,,,,,,,
206,212404,,,,,,,,,,
207,212188,,,,,,,,,,
208,211575,,,,,,,,,,
209,211300,,,,,,,,,,
210,208808,,,,,,,,,,
211,208618,,,,,,,,,,
212,208421,,,,,,,,,,
213,207863,,,,,,,,,,
214,207664,,,,,,,,,,
215,207471,,,,,,,,,,
216,207410,,,,,,,,,,
217,206652,,,,,,,,,,
218,206545,,,,,,,,,,
219,205452,,,,,,,,,,
220,204970,,,,,,,,,,
221,204639,,,,,,,,,,
222,204525,,,,,,,,,,
223,204277,,,,,,,,,,
224,203551,,,,,,,,,,
225,203483,,,,,,,,,,
226,202857,,,,,,,,,,
227,202652,,,,,,,,,,
228,202651,,,,,,,,,,
229,202477,,,,,,,,,,
230,202335,,,,,,,,,,
231,201862,,,,,,,,,,
232,200949,,,,,,,,,,
233,200104,,,,,,,,,,
234,199845,,,,,,,,,,
235,199503,,,,,,,,,,
236,198164,,,,,,,,,,
237,197965,,,,,,,,,,
238,195093,,,,,,,,,,
239,194794,,,,,,,,,,
240,193698,,,,,,,,,,
241,193532,,,,,,,,,,
242,193469,,,,,,,,,,
243,193348,,,,,,,,,,
244,193082,,,,,,,,,,
245,190483,,,,,,,,,,
246,190456,,,,,,,,,,
247,189560,,,,,,,,,,
248,188942,,,,,,,,,,
249,188803,,,,,,,,,,
250,187754,,,,,,,,,,
251,187072,,,,,,,,,,
252,186627,,,,,,,,,,
253,186561,,,,,,,,,,
254,186153,,,,,,,,,,
255,184484,,,,,,,,,,
256,184267,,,,,,,,,,
257,184200,,,,,,,,,,
258,183711,,,,,,,,,,
259,183574,,,,,,,,,,
260,183497,,,,,,,,,,
261,183376,,,,,,,,,,
262,182494,,,,,,,,,,
263,181786,,,,,,,,,,
264,181291,,,,,,,,,,
265,179847,,,,,,,,,,
266,178509,,,,,,,,,,
267,178372,,,,,,,,,,
268,178224,,,,,,,,,,
269,177600,,,,,,,,,,
270,177457,,,,,,,,,,
271,177413,,,,,,,,,,
272,176600,,,,,,,,,,
273,174543,,,,,,,,,,
274,172723,,,,,,,,,,
275,171919,,,,,,,,,,
276,171833,,,,,,,,,,
277,169595,,,,,,,,,,
278,169416,,,,,,,,,,
279,168354,,,,,,,,,,
280,167431,,,,,,,,,,
281,165239,,,,,,,,,,
282,163824,,,,,,,,,,
283,163631,,,,,,,,,,
284,163489,,,,,,,,,,
285,162347,,,,,,,,,,
286,158121,,,,,,,,,,
287,157481,,,,,,,,,,
288,150724,,,,,,,,,,
289,150418,,,,,,,,,,
290,146760,,,,,,,,,,
291,144622,,,,,,,,,,
292,143745,,,,,,,,,,
293,135507,,,,,,,,,,
294,113422,,,,,,,,,,
295,108080,,,,,,,,,,
296,104389,,,,,,,,,,
297,231677,,,,,,,,,,
298,230666,,,,,,,,,,
299,227928,,,,,,,,,,
300,227055,,,,,,,,,,
301,222737,,,,,,,,,,
302,222028,,,,,,,,,,
303,220793,,,,,,,,,,
304,217699,,,,,,,,,,
305,216354,,,,,,,,,,
306,216352,,,,,,,,,,
307,216201,,,,,,,,,,
308,216194,,,,,,,,,,
309,213661,,,,,,,,,,
310,212622,,,,,,,,,,
311,211368,,,,,,,,,,
312,210935,,,,,,,,,,
313,210008,,,,,,,,,,
314,209889,,,,,,,,,,
315,208830,,,,,,,,,,
316,208670,,,,,,,,,,
317,207599,,,,,,,,,,
318,205498,,,,,,,,,,
319,203747,,,,,,,,,,
320,203042,,,,,,,,,,
